year,field_of_study,major,students
2022/23,Other Fields of Study,Multi/Interdisciplinary Studies,32496
2022/23,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6287
2022/23,Other Fields of Study,Personal and Culinary Services,646
2022/23,Other Fields of Study,Reserve Officer Training Corps,37
2022/23,Physical and Life Sciences,Biological and Biomedical Sciences,49993
2022/23,Physical and Life Sciences,Physical Sciences,34126
2022/23,Physical and Life Sciences,Science Technologies/Technicians,711
2022/23,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2492
2022/23,Social Sciences,History,2551
2022/23,Social Sciences,Psychology,18474
2022/23,Social Sciences,Public Administration and Social Service Professions,8483
2022/23,Social Sciences,Social Sciences,53998
2022/23,Undeclared,Undeclared,17910
